7030322	|	306284	|	Azonexaceae	|	family	|	ncbi:2008795	|		|		|	
7030372	|	306284	|	Zoogloeaceae	|	family	|	ncbi:2008794	|		|		|	
1036630	|	27008	|	Oxalobacteraceae	|	family	|	silva:D14256/#5,ncbi:75682,gbif:8927,irmng:115054	|		|		|	
1074529	|	27008	|	Comamonadaceae	|	family	|	silva:D14320/#5,ncbi:80864,worms:393948,gbif:5439,irmng:104249	|		|		|	
190168	|	27008	|	Burkholderiaceae	|	family	|	silva:D87999/#5,ncbi:119060,worms:571038,gbif:5438,gbif:4894896,irmng:112164,irmng:116331	|		|		|	
324575	|	27008	|	Alcaligenaceae	|	family	|	silva:D88005/#5,ncbi:506,worms:569914,gbif:5437,irmng:105317	|		|		|	
286853	|	779197	|	Neisseriaceae	|	family	|	silva:L06164/#5,ncbi:481,worms:570938,gbif:4893935,gbif:5440,irmng:108798,irmng:108716	|		|		|	
5580669	|	779197	|	Chromobacteriaceae	|	family	|	ncbi:1499392	|		|		|	
548549	|	216584	|	Gallionellaceae	|	family	|	silva:L07897/#5,ncbi:90627,gbif:8930,irmng:105247	|		|		|	
728498	|	216584	|	Nitrosomonadaceae	|	family	|	silva:L35509/#5,ncbi:206379,worms:569926,gbif:5441,irmng:115049	|		|		|	
190177	|	216584	|	Spirillaceae	|	family	|	ncbi:119068,gbif:5442,irmng:108846	|		|		|	
344389	|	779195	|	Methylophilaceae	|	family	|	silva:L15475/#5,ncbi:32011,worms:571358,gbif:8929,irmng:114991	|		|		|	
205171	|	190174	|	Hydrogenophilaceae	|	family	|	silva:M79426/#5,ncbi:206349,worms:569922,gbif:8928,irmng:112520	|		|		|	
94327	|	94325	|	Procabacteriaceae	|	family	|	silva:AB506680/#5,ncbi:224469,worms:571412,gbif:5443,irmng:105041	|		|		|	
5276467	|	5273716	|	Ferrovaceae	|	family	|	ncbi:1442156	|		|		|	
385234	|	35706	|	Desulfovibrionaceae	|	family	|	silva:D43944/#5,ncbi:194924,worms:393041,gbif:8939,irmng:112519	|		|		|	
35692	|	35706	|	Desulfohalobiaceae	|	family	|	silva:U48244/#5,ncbi:213117,worms:394175,gbif:4873,irmng:113724	|		|		|	
35689	|	35706	|	Desulfomicrobiaceae	|	family	|	silva:U64865/#5,ncbi:213116,worms:571151,gbif:8938,irmng:113726	|		|		|	
917196	|	35706	|	Desulfonatronaceae	|	family	|	silva:Y14594/#5,ncbi:224380,worms:571154,gbif:8937,gbif:4902276,irmng:113727,irmng:105067	|		|		|	
774775	|	371456	|	Desulfobacteraceae	|	family	|	silva:L06457/#5,ncbi:213119,worms:393982,gbif:8935,irmng:112231	|		|	sibling_higher	|	
706687	|	371456	|	Nitrospinaceae	|	family	|	silva:L35504/#5,ncbi:407032,worms:570083,gbif:5444,irmng:115050	|		|	sibling_higher	|	
846631	|	371456	|	Desulfobulbaceae	|	family	|	silva:L42613/#5,ncbi:213121,worms:570067,gbif:8936,irmng:112475	|		|	sibling_higher	|	
846629	|	371456	|	Desulfoarculaceae	|	family	|	ncbi:213122,gbif:4902332,irmng:112230	|		|	sibling_higher	|	
726987	|	846675	|	Geobacteraceae	|	family	|	silva:L07834/#5,ncbi:213422,worms:394053,gbif:4874,irmng:112514	|		|		|	
726990	|	846675	|	Desulfuromonadaceae	|	family	|	silva:U23140/#5,ncbi:213421,worms:570104,worms:570106,gbif:8941,gbif:4896829,irmng:112202,irmng:115057	|		|		|	
623147	|	623140	|	Syntrophobacteraceae	|	family	|	silva:L27426/#5,ncbi:213465,worms:570208,gbif:8946,irmng:116328	|		|		|	
